Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
131,0000,132,0100,131,0000,7FF,05B2,0000,084,0100,131,0000
132,0000,133,0100,132,0000,7FF,05B2,0000,084,0100,132,0000
133,0000,134,0100,133,0000,7FF,05B2,0000,084,0100,133,0000
134,0000,135,0100,134,0000,7FF,05B2,0000,084,0100,134,0000
135,0000,136,0100,135,0000,7FF,05B2,0000,084,0100,135,0000
136,0000,137,0100,136,0000,7FF,05B2,0000,084,0100,136,0000
137,0000,138,0100,137,0000,7FF,05B2,0000,084,0100,137,0000
138,0000,139,0100,138,0000,7FF,05B2,0000,084,0100,138,0000
139,0000,13A,0100,139,0000,7FF,05B2,0000,084,0100,139,0000
13A,0000,13B,0100,13A,0000,7FF,05B2,0000,084,0100,13A,0000
13B,0000,13C,0100,13B,0000,7FF,05B2,0000,084,0100,13B,0000
13C,0000,13D,0100,13C,0000,7FF,05B2,0000,084,0100,13C,0000
13D,0000,13E,0100,13D,0000,7FF,05B2,0000,084,0100,13D,0000
13E,0000,13F,0100,13E,0000,7FF,05B2,0000,084,0100,13E,0000
13F,0000,140,0100,13F,0000,7FF,05B2,0000,084,0100,13F,0000
140,0000,141,0100,140,0000,7FF,05B2,0000,084,0100,140,0000
141,0000,142,0100,141,0000,7FF,05B2,0000,084,0100,141,0000
142,0000,143,0100,142,0000,7FF,05B2,0000,084,0100,142,0000
143,0000,144,0100,143,0000,7FF,05B2,0000,084,0100,143,0000
144,0000,145,0100,144,0000,7FF,05B2,0000,084,0100,144,0000
145,0000,146,0100,145,0000,7FF,05B2,0000,084,0100,145,0000
146,0000,147,0100,146,0000,7FF,05B2,0000,084,0100,146,0000
147,0000,148,0100,147,0000,7FF,05B2,0000,084,0100,147,0000
148,0000,149,0100,148,0000,7FF,05B2,0000,084,0100,148,0000
149,0000,14A,0100,149,0000,7FF,05B2,0000,084,0100,149,0000
14A,0000,14B,0100,14A,0000,7FF,05B2,0000,084,0100,14A,0000
14B,0000,14C,0100,14B,0000,7FF,05B2,0000,084,0100,14B,0000
14C,0000,14D,0100,14C,0000,7FF,05B2,0000,084,0100,14C,0000
14D,0000,14E,0100,14D,0000,7FF,05B2,0000,084,0100,14D,0000
14E,0000,14F,0100,14E,0000,7FF,05B2,0000,084,0100,14E,0000
14F,0000,150,0100,14F,0000,7FF,05B2,0000,084,0100,14F,0000
150,0000,151,0100,150,0000,7FF,05B2,0000,084,0100,150,0000
151,0000,152,0100,151,0000,7FF,05B2,0000,084,0100,151,0000
152,0000,153,0100,152,0000,7FF,05B2,0000,084,0100,152,0000
153,0000,154,0100,153,0000,7FF,05B2,0000,084,0100,153,0000
154,0000,155,0100,154,0000,7FF,05B2,0000,084,0100,154,0000
155,0000,156,0100,155,0000,7FF,05B2,0000,084,0100,155,0000
156,0000,157,0100,156,0000,7FF,05B2,0000,084,0100,156,0000
157,0000,158,0100,157,0000,7FF,05B2,0000,084,0100,157,0000
158,0000,159,0100,158,0000,7FF,05B2,0000,084,0100,158,0000
159,0000,15A,0100,159,0000,7FF,05B2,0000,084,0100,159,0000
15A,0000,15B,0100,15A,0000,7FF,05B2,0000,084,0100,15A,0000
15B,0000,15C,0100,15B,0000,7FF,05B2,0000,084,0100,15B,0000
